method,category,pesq_mean,pesq_std,pesq_count,stoi_mean,stoi_std,stoi_count,estoi_mean,estoi_std,estoi_count,si_sdr_mean,si_sdr_std,si_sdr_count,snr_mean,snr_std,snr_count,segsnr_mean,segsnr_std,segsnr_count,snr_gain_mean,snr_gain_std,snr_gain_count,si_sdr_gain_mean,si_sdr_gain_std,si_sdr_gain_count,pesq_gain_mean,pesq_gain_std,pesq_gain_count,stoi_gain_mean,stoi_gain_std,stoi_gain_count,rtf_mean,rtf_std,rtf_count
unprocessed,artillery,2.265374004840851,1.008254932351683,40,0.9259427245233034,0.07301498976122114,40,0.8612009209586404,0.12149409058762112,40,11.993829215006151,9.611698945517468,40,11.97390071639445,9.640442222518494,40,19.177746089117115,12.249777510185798,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,9.006296750158072e-07,6.837431726278778e-07,40
unprocessed,engine,1.1846999257802964,0.17023366471647688,40,0.7418617600420023,0.17673965986371468,40,0.5523099030354406,0.2293456898591884,40,1.7546762836412515,6.650703266207206,40,1.7900857913439192,6.6074227853930605,40,0.1575117105382041,5.6028677081188345,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,3.486244531814009e-06,1.137890972786884e-05,40
unprocessed,gunshot,2.5692606061697005,0.8840679038816599,40,0.943869071810527,0.07598617132852242,40,0.9052988355404346,0.10417798360652326,40,16.84998617395725,7.866846420602963,40,16.873575749069946,7.838115948320661,40,22.507588789721883,11.471733634926565,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,8.293689461424947e-07,1.4197322825529608e-07,40
unprocessed,rotor,1.2630836009979247,0.294248870966323,40,0.7854023454009639,0.12170008394833558,40,0.5885002862245235,0.17343208489392845,40,0.08685592657639626,7.753607186176232,40,0.19010273136947883,7.6379020342236394,40,1.273462140632377,8.51621578499107,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,8.006245479919016e-07,1.3999564520740747e-07,40
unprocessed,siren,1.5623335421085358,0.7071951456742647,40,0.868575981118715,0.11342839915750848,40,0.749588814833455,0.1575965743521949,40,1.0966593696820153,7.251662036426949,40,1.217960033164736,7.11796758906775,40,9.363436562712831,10.964836057990935,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,8.243732736445963e-07,1.770002133205868e-07,40
wiener,artillery,2.1880647122859953,0.9339588185761997,40,0.922070103853042,0.07519484043247343,40,0.853636979377522,0.12323424683185331,40,11.601586319483406,9.042602469175197,40,11.626544760682396,9.0367504970792,40,16.26621485864729,10.231040249726457,40,-0.34735595571205397,1.680972103421043,40,-0.3922428955227452,1.6733427475409797,40,-0.07730929255485534,0.15111117458260595,40,-0.0038726206702614924,0.007033448185466429,40,0.00426019562582951,0.0007938879095608956,40
wiener,engine,1.2311816543340683,0.23912518179571018,40,0.7425349140330868,0.1786921378746477,40,0.5637545585997342,0.23010011752894627,40,2.8567580765419307,6.899597446665413,40,3.2052945795955994,6.671128649891011,40,1.5856338517381774,5.61636377239173,40,1.41520878825168,1.1469437495386865,40,1.1020817929006792,1.131292974331351,40,0.04648172855377197,0.08024753381154953,40,0.000673153991084427,0.008879610988628111,40,0.0038759849994676188,0.00027821943888117144,40
wiener,gunshot,2.4891496688127517,0.8392441288228972,40,0.9407322736098214,0.07947583604052992,40,0.8978384291002675,0.10801591252224298,40,16.65533478501489,7.777069997507507,40,16.498539079713808,7.641365431946268,40,19.23163390739439,10.342812394726147,40,-0.37503666935613544,1.2434108571450497,40,-0.19465138894236073,0.8182453295252653,40,-0.08011093735694885,0.1150358258837611,40,-0.003136798200705784,0.0066780149353531425,40,0.00402982250234345,0.0002771639681549168,40
wiener,rotor,1.3120009928941727,0.33031330106748535,40,0.7926186301769339,0.12047644224984083,40,0.6083562548710126,0.17113442479404628,40,1.2254950418919415,7.926885791818228,40,1.6361424289979674,7.6487514067232905,40,2.196637442141145,7.701074866008443,40,1.4460396976284884,1.0031386878231296,40,1.138639115315545,0.8933359129802477,40,0.048917391896247865,0.07173352879369942,40,0.007216284775969996,0.008421924872740735,40,0.003921092493692413,0.00020685075029029424,40
wiener,siren,1.5362239003181457,0.6527448386627217,40,0.8637626291786719,0.11442274452396838,40,0.7422116010923492,0.15539433958023138,40,1.1918921139534269,7.247825141887755,40,1.4013025624651736,7.089449824278638,40,8.266068664358173,9.36739546199409,40,0.1833425293004374,0.4502579061477132,40,0.09523274427141168,0.3517386150300021,40,-0.026109641790390013,0.07417056183018056,40,-0.004813351940043266,0.0159292542249197,40,0.004087114382127765,0.00040890084656095775,40
