method,category,pesq_mean,pesq_std,pesq_count,stoi_mean,stoi_std,stoi_count,estoi_mean,estoi_std,estoi_count,si_sdr_mean,si_sdr_std,si_sdr_count,snr_mean,snr_std,snr_count,segsnr_mean,segsnr_std,segsnr_count,snr_gain_mean,snr_gain_std,snr_gain_count,si_sdr_gain_mean,si_sdr_gain_std,si_sdr_gain_count,pesq_gain_mean,pesq_gain_std,pesq_gain_count,stoi_gain_mean,stoi_gain_std,stoi_gain_count,rtf_mean,rtf_std,rtf_count,burst_si_sdr_gain_mean,burst_si_sdr_gain_std,burst_si_sdr_gain_count,burst_snr_gain_mean,burst_snr_gain_std,burst_snr_gain_count,burst_frac_mean,burst_frac_std,burst_frac_count
gtcrn:checkpoints/ft_best.pt,siren,2.0416741917530694,0.5908153828451284,120,0.8859305948137262,0.0834825281971079,120,0.7680955006205472,0.13717174201280521,120,11.460073577270666,5.427024619040096,120,11.803061749521614,4.627882002782054,120,9.187426404695195,4.22416502445163,120,5.107505202706755,3.5584920401963958,120,4.826778346078315,3.453235943098278,120,0.6775875022013982,0.3879457218728103,120,0.048993373231169465,0.04002616960582856,120,0.05054436229305182,0.005698611312292923,120,,,0,,,0,,,0
gtcrn_dns3,artillery,1.6275770644346872,0.4500863360915547,120,0.8319015604501104,0.11362590918951486,120,0.6867359122277981,0.17274180271371367,120,7.753918808934014,6.366724991908487,120,8.666725869035174,5.3452187826165805,120,7.271368647155871,5.352723192193377,120,8.12360997404203,3.5577977093063136,120,7.2672979575406895,3.671502847118036,120,0.43980286717414857,0.3371796900979144,120,0.06688422785934364,0.04723298163306252,120,0.04774336770788064,0.0032283559576192773,120,7.03221535756879,4.548305153827551,120,9.864999806386633,4.632288761398315,120,0.203498828125,0.11545771434260352,120
gtcrn_dns3,babble,1.7022867073615393,0.5963085009019692,120,0.8184474004979926,0.153508397616737,120,0.6720234179466025,0.21051144278563078,120,8.261569665611846,8.142374199762868,120,9.456387081342351,6.368510018741276,120,6.855937834458407,5.860862878178076,120,4.78572946705213,3.667780575902416,120,3.817199368234485,4.0097012452237095,120,0.3696538478136063,0.3362659438031299,120,0.03369403775373078,0.05615308925315057,120,0.05750222562734654,0.013551931973276502,120,,,0,,,0,,,0
gtcrn_dns3,engine,1.966865141193072,0.6449082187474082,120,0.8701821579521949,0.09837729664645944,120,0.7470360221895979,0.1544668466430103,120,10.404482278914328,5.945497141165695,120,10.936763065317507,5.2357756835575024,120,8.732012281668233,5.149423862809433,120,5.342702219709171,3.548171130963872,120,4.825568185567983,3.31532900902605,120,0.5870642532904943,0.40436195547447246,120,0.054150727672778294,0.044056144472017944,120,0.04857796833336271,0.006078557726820786,120,,,0,,,0,,,0
gtcrn_dns3,gunshot,1.7931431839863459,0.5572107643510319,120,0.8487312234114265,0.112605315644914,120,0.7188573140449045,0.1701777766486019,120,8.5151146390257,6.84647911074418,120,9.269056462273594,6.03739073084152,120,7.895166974764493,5.459624483978892,120,6.436068237859487,3.4040598082293574,120,5.738133148091853,3.428172722196908,120,0.49573056598504384,0.34680404434294987,120,0.0666399171247786,0.04788473551700219,120,0.04990153041823452,0.014806605024800953,120,5.835921718080785,4.9041812340483615,120,7.805280719947963,4.732348715411216,120,0.18746588541666667,0.11007904827898801,120
gtcrn_dns3,rotor,1.8679105242093403,0.5482524452511505,120,0.8695679202557248,0.10852772576469645,120,0.7457131380554486,0.15687302151198873,120,10.10120069101476,5.564922333304338,120,10.57540063230198,4.9351336898909075,120,8.241353129612063,4.733250016226815,120,4.4633697052889545,3.369145327030016,120,4.024017119475016,3.3362553228382725,120,0.5140476932128271,0.35530874160530196,120,0.04656612326806607,0.04476441301081355,120,0.047980857916506116,0.004104407934434432,120,,,0,,,0,,,0
gtcrn_dns3,siren,1.9343778808911642,0.5511877735277102,120,0.8847533854505681,0.08393348563417921,120,0.7676398968078869,0.13594208871724744,120,11.095828808021453,5.641634006222826,120,11.516039540502286,4.992786136116321,120,9.057498135589656,4.651066898609643,120,4.820482993687426,3.7046077781350375,120,4.462533576829102,3.5894760840229805,120,0.5702911913394928,0.3838844275089025,120,0.04781616386801145,0.042385465411536996,120,1.0748407154164548,10.997015834249423,120,,,0,,,0,,,0
gtcrn_vctk,artillery,1.2099538683891295,0.22759122998033993,120,0.6655955700197954,0.17921129599079075,120,0.5119730999031209,0.20363614464732588,120,0.6500221074463804,7.6305067265771065,120,4.2457855699861,3.937848627544573,120,4.267846141869446,3.9817680097189623,120,3.7026696749929533,4.13986889504983,120,0.16340125605305597,4.790617910569098,120,0.022179671128590886,0.19564114635364924,120,-0.0994217625709713,0.1133523289685607,120,0.053008410209925645,0.010163102433611959,120,-0.12068335182682537,7.384028537729633,120,6.830114844143396,4.10789014476376,120,0.203498828125,0.11545771434260352,120
gtcrn_vctk,babble,1.3200326571861902,0.3431043992538772,120,0.7022039791302622,0.17576732257200975,120,0.5507084601341542,0.21315335757353576,120,2.6506387107719958,7.861180110789075,120,5.495051055689126,4.6288840229483,120,4.986774792905535,4.70333308094235,120,0.8243934413989052,5.121323753909972,120,-1.7937315866053638,5.529456554909082,120,-0.012600202361742665,0.34527748945401415,120,-0.08254938361399944,0.09142997419470819,120,0.06246967250141699,0.0168669874253468,120,,,0,,,0,,,0
gtcrn_vctk,engine,1.3565639595190684,0.3769650918156644,120,0.7231686710132676,0.1612439721204624,120,0.5742138405754442,0.2001283430895807,120,4.130883046706447,6.52345959181029,120,6.177589962136295,4.407010162757497,120,5.6294871343655375,4.4628916733922885,120,0.5835291165279604,4.879145260812883,120,-1.4480310466399,4.607481889687392,120,-0.023236928383509322,0.3647420614402144,120,-0.09286275926614887,0.09497328991022401,120,0.04724701333519377,0.0049492797218371005,120,,,0,,,0,,,0
gtcrn_vctk,gunshot,1.3107495913902918,0.3515262033869404,120,0.696762820890754,0.19571444906376695,120,0.5582654302387867,0.21293206622441485,120,2.59106416869657,8.057089981514235,120,5.557170808213294,4.28937843071212,120,5.228734937219413,4.644502119331073,120,2.7241825837991867,5.053693687391296,120,-0.18591732223727717,6.356726474157921,120,0.01333697338898976,0.2028114842603663,120,-0.08532848539589376,0.1147957748998251,120,0.049303125622585216,0.006646212416341683,120,0.18064064059387425,8.19143926922084,120,4.929536295533462,5.763788284106428,120,0.18746588541666667,0.11007904827898801,120
gtcrn_vctk,rotor,1.3544754852851233,0.34594585137349415,120,0.7565903277460743,0.15402393051780214,120,0.609852997321877,0.18516946619084793,120,4.7624369745598045,5.314488243625744,120,6.375024303553747,3.8988804976249307,120,5.800910256632877,4.09836914813493,120,0.2629933765407218,4.601444277516261,120,-1.3147465969799403,4.589671321460865,120,0.0006126542886098205,0.25399065149859895,120,-0.06641146924158454,0.08231270018537837,120,0.048443231670535124,0.005634194853448245,120,,,0,,,0,,,0
gtcrn_vctk,siren,1.3513347625732421,0.2996135933144382,120,0.7565826297050867,0.14656840253537196,120,0.6136701734652447,0.17265546063008091,120,4.655071224679966,6.063675432244573,120,6.421967969937503,4.23622781947623,120,5.971054297529521,3.8173176008475482,120,-0.2735885768773562,5.20095344653322,120,-1.9782240065123864,5.663344504098394,120,-0.01275192697842916,0.2812810087873268,120,-0.08035459187746997,0.10362102402801689,120,0.0627939152080216,0.020502429249003928,120,,,0,,,0,,,0
specsub,artillery,1.1969128211339315,0.2399484003913931,120,0.7662702317870989,0.13870306795324025,120,0.5906978520713496,0.18720118277492576,120,0.6844518859362407,6.546242855555849,120,0.8137701540524814,6.439549160810966,120,2.262898507699248,6.280202302326892,120,0.27065425905933477,0.6298709327383036,120,0.19783103454291623,0.616934084852254,120,0.009138623873392728,0.03290831810055056,120,0.001252899196332139,0.0023593023559998014,120,0.0028017139571601944,0.00024801280966428585,120,0.08723911363758506,0.43012070437649974,120,0.1601197560026084,0.4326527776970244,120,0.203498828125,0.11545771434260352,120
specsub,babble,1.3517606198787688,0.4579478090975237,120,0.7856682694249569,0.14919132113155859,120,0.5978531675557784,0.21318436774694455,120,4.9052144897297945,7.827041934260093,120,5.213231208047348,7.335151902612486,120,3.1179191918908087,7.132403584502312,120,0.5425735937571267,1.2242945606712172,120,0.4608441923524343,1.2226135123533084,120,0.019127760330835974,0.1229760118552757,120,0.0009149066806951662,0.0032016816522877673,120,0.0027886018700276328,0.000253282498750006,120,,,0,,,0,,,0
specsub,engine,1.3948305030663808,0.44854012933969345,120,0.8179717113786179,0.12222017169428188,120,0.6442672317758087,0.18633884424731126,120,6.1952867626388395,6.956673900608545,120,6.263828892765844,6.878885737051211,120,4.137193201415053,7.223408331522286,120,0.6697680471575087,1.1302717705484413,120,0.6163726692924931,1.1070666978082646,120,0.015029615163803078,0.10331974442287324,120,0.0019402810992013224,0.002566512525630246,120,0.0027814843745241997,0.000233603941950217,120,,,0,,,0,,,0
specsub,gunshot,1.303473021586736,0.36617280915403355,120,0.783108537369651,0.1366504488384455,120,0.6262724065867358,0.1825170045186343,120,3.0255168742726686,6.950568745713508,120,3.1448613800328586,6.857723061619539,120,3.435234728994737,6.845344352817306,120,0.31187315561875234,0.982880513250796,120,0.2485353833388214,0.9781165258175132,120,0.006060403585433949,0.029532835947861234,120,0.0010172310830031108,0.002104994705786157,120,0.0029271485424638864,0.0004890524465927625,120,0.1125163476114268,0.7755524396977731,120,0.22582706617393108,0.6751432739526524,120,0.18746588541666667,0.11007904827898801,120
specsub,rotor,1.3719713320334752,0.40442710303687557,120,0.8245077605246021,0.12913464438001512,120,0.6539071453462505,0.17851198711400468,120,6.457607806037874,6.318376811234609,120,6.545973968209494,6.190631643663641,120,4.144915339237882,6.17441697952878,120,0.43394304119646815,0.667651719051746,120,0.38042423449813006,0.6552410924849679,120,0.018108501036961846,0.04378914646631536,120,0.0015059635369432177,0.0020686718976704794,120,0.0028106249999836556,0.00025350456318988724,120,,,0,,,0,,,0
specsub,siren,1.3753530591726304,0.3565883161927857,120,0.8382227704380198,0.11177899290593114,120,0.6706841241463464,0.16277046483173924,120,6.929703615985754,6.519768675778954,120,7.041814766600506,6.35500098354514,120,4.722011626056012,6.285092255259483,120,0.34625821978564614,0.5648033432223144,120,0.2964083847934027,0.549299143218192,120,0.01126636962095895,0.03433031444346805,120,0.0012855488554631676,0.0036187232145617355,120,0.002786825833512264,0.0002887897063144791,120,,,0,,,0,,,0
unprocessed,artillery,1.1877741972605387,0.23010598744522584,120,0.7650173325907667,0.1384450155132591,120,0.5864684859528452,0.1874617314597148,120,0.48662085139332434,6.416626347338877,120,0.5431158949931465,6.346805515162831,120,1.6291652193055761,6.04572881229038,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,1.818120169142882e-06,5.9207092136797086e-06,120,0.0,0.0,120,0.0,0.0,120,0.203498828125,0.11545771434260352,120
unprocessed,babble,1.3326328595479329,0.4052404688017471,120,0.7847533627442617,0.14807260959318078,120,0.5932199855892949,0.21326068325612146,120,4.44437029737736,7.571645434276213,120,4.670657614290221,7.119616602628926,120,2.6163752236473963,7.160546803964701,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,9.16455852954338e-07,6.334688540679363e-07,120,,,0,,,0,,,0
unprocessed,engine,1.3798008879025778,0.4279987762908319,120,0.8160314302794165,0.12260905309680513,120,0.6382680434425222,0.18863864873772976,120,5.578914093346346,7.055734859165445,120,5.594060845608335,7.071411163004904,120,3.5405676990415356,7.65266800375146,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,8.772903432448705e-07,3.248138184712624e-07,120,,,0,,,0,,,0
unprocessed,gunshot,1.2974126180013021,0.35323538337580196,120,0.7820913062866478,0.13634146097892416,120,0.6219982849461181,0.18343518384706448,120,2.776981490933847,6.949245882796689,120,2.8329882244141067,6.886781524456117,120,3.094606447060985,7.139892317572085,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,2.4439553574969373e-06,1.1682156010747658e-05,120,0.0,0.0,120,0.0,0.0,120,0.18746588541666667,0.11007904827898801,120
unprocessed,rotor,1.3538628309965133,0.39449365929503744,120,0.8230017969876589,0.12912794128161828,120,0.6486312458789001,0.17884069140807446,120,6.077183571539745,6.249013608579405,120,6.112030927013025,6.155619424947089,120,3.7328780625253035,6.3699879715929475,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,1.0216662000554304e-06,6.192199171775318e-07,120,,,0,,,0,,,0
unprocessed,siren,1.3640866895516714,0.354950741176608,120,0.8369372215825568,0.11212008501775038,120,0.6667371741276428,0.16404773645673243,120,6.633295231192351,6.517991254008719,120,6.69555654681486,6.383953350616393,120,4.36697295523571,6.416704534841403,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,8.647917032552262e-07,1.8999399560899412e-07,120,,,0,,,0,,,0
wiener,artillery,1.2049932479858398,0.24971584769133318,120,0.7636153528314864,0.14012455587405964,120,0.5909270340061278,0.18889200292110322,120,0.8031336284175279,6.673518180368881,120,1.0733490610858019,6.500729470560719,120,2.6961675203639843,6.257859781904563,120,0.5302331660926551,0.9237677669348864,120,0.3165127770242034,0.8869713769457683,120,0.017219050725301097,0.05698094598290105,120,-0.0014019797592803192,0.00603511677103622,120,0.004134298751402293,0.0003920027179402046,120,0.16037030307377295,0.8008285137006037,120,0.3755188923248067,0.8200857999877533,120,0.203498828125,0.11545771434260352,120
wiener,babble,1.3736895124117534,0.46684976915748494,120,0.7829155401612855,0.15042572627743173,120,0.598239372860226,0.21250098143351726,120,5.162849925128021,7.843971707867283,120,5.606273338568886,7.27352721842436,120,3.4438494494200906,6.99754694598995,120,0.9356157242786651,1.523505591109912,120,0.7184796277506612,1.505761556649976,120,0.04105665286382037,0.14239127686355818,120,-0.0018378225829762092,0.006926409589649451,120,0.004006007916662633,0.0003108518631691753,120,,,0,,,0,,,0
wiener,engine,1.4216467022895813,0.46697895523480853,120,0.8186696548481517,0.12160543506878715,120,0.6485521020353434,0.18343977678063342,120,6.664272265405505,6.925943583078808,120,6.883948882201974,6.6997622729031265,120,4.688497400428431,6.8423061496415905,120,1.2898880365936387,1.889263620502931,120,1.0853581720591594,1.6509916869341486,120,0.041845814387003556,0.1654589285840629,120,0.0026382245687350814,0.010018695139658152,120,0.004168924582093755,0.0005759843986720656,120,,,0,,,0,,,0
wiener,gunshot,1.3160661647717158,0.37591959940018504,120,0.7808440597222829,0.13772388478091843,120,0.6260903817051594,0.18276197689177082,120,3.2555178324430813,7.042745600551328,120,3.4909974395843872,6.887542406779939,120,3.8195885545762,6.707709999167324,120,0.6580092151702804,1.52041388836196,120,0.4785363415092341,1.4784123610244486,120,0.018653546770413705,0.06588671120737605,120,-0.0012472465643649092,0.0056620139862414536,120,0.0042762758350969425,0.0005567284040641384,120,0.18858989300092818,1.0543211872411766,120,0.479056070888549,0.8211905931077738,120,0.18746588541666667,0.11007904827898801,120
wiener,rotor,1.4043209413687388,0.41274190188867693,120,0.8237268308354897,0.12822346850805214,120,0.6574300490542515,0.1769383984399431,120,6.819742262379548,6.329293080893606,120,7.01458088172484,6.139462693912595,120,4.576116504868967,5.993077524519188,120,0.9025499547118153,1.0723580033647653,120,0.7425586908398035,1.0170571135592408,120,0.05045811037222541,0.10658649689372958,120,0.0007250338478309293,0.006022069922322542,120,0.004203457710779375,0.0005789227951300079,120,,,0,,,0,,,0
wiener,siren,1.4078579823176065,0.3753939186685232,120,0.8369973190267234,0.11152207203011012,120,0.6717755268556422,0.16186953014066954,120,7.217266562120525,6.4889897692110985,120,7.426805073887187,6.254675946732249,120,5.063999061643748,6.049844178730495,120,0.7312485270723276,0.9812797847427079,120,0.5839713309281728,0.9070065751056294,120,0.04377129276593524,0.1203766711160686,120,6.0097444166564115e-05,0.00865645263062108,120,0.004162599792471108,0.00045896413008274267,120,,,0,,,0,,,0
